"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"XM_071955305.1" 13384.2376913697 2.67829868062896 0.670544573196935 3.99421423673554 6.49091538241307e-05 0.00239567666551195
"XM_071955353.1" 436.388779966377 3.06991827272983 0.871890696169564 3.5209898284461 0.000429939108320622 0.011783358642015
"XM_071955412.1" 41.9917853409668 -7.58675397387355 2.43057236032126 -3.12138576811216 0.00180002066990709 0.0363683054607183
"XM_071955430.1" 146.162173633135 21.5410861430374 3.98884573570725 5.40033071477455 6.65181552047724e-08 7.5842254812395e-06
"XM_071955516.1" 559.596940284977 1.86939806680213 0.58965118493718 3.17034564596235 0.00152257702340883 0.0325316993003295
"XM_071955558.1" 27.6222220173131 9.39444770784645 1.50693263881787 6.23415238733964 4.5423075383392e-10 1.14305563336004e-07
"XM_071955606.1" 207.092855418606 2.43729925444711 0.796804045056461 3.05884397747303 0.00222192835709307 0.0426134727946572
"XM_071955647.1" 8.49048442460327 6.73408739462955 1.73698288824254 3.87688758491054 0.00010580121120963 0.00364064305920652
"XM_071955652.1" 28.9263957774071 -8.07272433714976 2.30848995896155 -3.49697182169299 0.000470571535089067 0.0126465465519675
"XM_071955678.1" 9.27160593858968 6.05692533882187 1.64721961598131 3.67705998645088 0.000235937572436323 0.0072388087956972
"XM_071955709.1" 218.583383064191 -5.41290861245314 1.61914047140779 -3.34307535883332 0.000828553959443075 0.0199437340981694
"XM_071955718.1" 17.5764171179082 8.87741916876736 1.83798121079475 4.82998363455997 1.36544272728853e-06 8.08011274701642e-05
"XM_071955780.1" 45.6925502316573 7.43101619675349 2.01282946949143 3.69182601377108 0.00022264976148235 0.00695459063252119
"XM_071955787.1" 2438.86702837495 6.32273481801806 1.07325259322803 5.89118988196536 3.83424666366273e-09 7.34789131783305e-07
"XM_071955817.1" 10.4546519730934 -20.4387610779777 3.70142394895327 -5.52186438512606 3.35421341580012e-08 4.3985481121453e-06
"XM_071955831.1" 47.8085767425504 9.85584195789951 2.64810552392301 3.7218463799353 0.000197771335308168 0.00629256357156114
"XM_071955844.1" 188.967474798386 9.76300825451675 2.53447906290638 3.85207690108955 0.0001171202271873 0.003969049227813
"XM_071955857.1" 95.7434416016261 -7.12652202005794 2.34652098956786 -3.03705871447175 0.00238898916733305 0.0449523316659881
"XM_071955868.1" 6.61001361427053 7.5061560094387 1.92285148042237 3.90365875152765 9.47493513178195e-05 0.00331514060730772
"XM_071955888.1" 190.428149308613 1.3977611280968 0.236241840709908 5.91665356101409 3.28557718995722e-09 6.49631623280986e-07
"XM_071955898.1" 36.8111541011189 -20.6939052177158 3.78732936377761 -5.46398351715442 4.65566784615139e-08 5.68562024760635e-06
"XM_071955955.1" 17.1504656808299 4.41474205931006 1.24502086167023 3.54591814099207 0.000391247723572462 0.0109028574243409
"XM_071955980.1" 7.72154121796723 6.41935177124382 2.01683005346856 3.18289176631604 0.00145812108732847 0.031478484097586
"XM_071956075.1" 2478.15308433649 -1.0176192309828 0.217748552933952 -4.67336851277018 2.96299425880495e-06 0.000156392110105101
"XM_071956152.1" 34.195064493156 8.4316137999965 1.84138808431279 4.57894447771621 4.67328216281092e-06 0.000235679106320058
"XM_071956170.1" 72.4732051833884 -23.3128209896332 3.76480495559639 -6.19230511662461 5.92906354645854e-10 1.44814470718551e-07
"XM_071956176.1" 27.1813835601163 -20.0351129097468 4.2499647569901 -4.71418330629546 2.42682123331163e-06 0.000130300425399769
"XM_071956227.1" 271.399887963329 -4.7038897208052 0.953454794672203 -4.93352149162184 8.07601511764029e-07 5.37961937502066e-05
"XM_071956229.1" 7590.52044431238 2.77641005994916 0.653303673654927 4.24980016477858 2.13961313794397e-05 0.000911182600095694
